#,Reference,Qty,ORDER QTY,MPN,PD
1,C3,1,4,GCM1885C1H332JA16D,CAP CER 3300PF 50V C0G/NP0 0603
2,C63,1,4,GCM188R71H104KA57D,CAP CER 0.1UF 50V X7R 0603
3,C69,1,4,GRT188R61E106ME13D,CAP CER 10UF 25V X5R 0603
4,C71,1,4,GCM188R71H223KA37J,CAP CER 0.022UF 50V X7R 0603
5,"C1,C8,C72,C78,C79,C80,C95,C99,C104",9,20,GCM188R71E105KA64J,CAP CER 1UF 25V X7R 0603
6,"C10,C11,C14,C15,C94",5,12,MSAST168BB5475MTNA01,CAP CER 4.7UF 25V X5R 0603
7,"C18,C19,C20,C21,C22,C23,C24,C25",8,18,GCM1885C1H470JA16D,CAP CER 47PF 50V C0G/NP0 0603
8,"C2,C12,C13,C16,C17,C34,C35,C36,C40,C41,C42,C53,C54,C57,C58,C70,C73,C74,C81,C83,C84,C85,C86,C87,C88,C89,C90,C91,C92,C93,C98,C103",32,66,GCM188R71H104KA57D,CAP CER 0.1UF 50V X7R 0603
9,"C26,C27",2,10,GCM1885C1H472GA16D,CAP CER 4700PF 50V C0G/NP0 0603
10,"C37,C39",2,10,AC0603KRX7R9BB333,CAP CER 0.033UF 50V X7R 0603
11,"C38,C55,C56,C65,C66,C67,C105,C106,C107,C108",10,22,GCM188R71H103KA37J,CAP CER 10000PF 50V X7R 0603
12,"C4,C5",2,10,GRT188R61E106ME13D,CAP CER 10UF 25V X5R 0603
13,"C43,C44,C45,C46,C47,C48,C59,C60,C61,C62,C76,C77,C101,C102",14,30,GRT188R61A226ME13D,CAP CER 22UF 10V X5R 0603
14,"C6,C7,C9,C28,C29,C30,C31,C32,C33,C49,C50,C51,C52,C82",14,30,GRT188R61E106ME13D,CAP CER 10UF 25V X5R 0603
15,"C64,C100",2,10,GCM1885C1H270JA16D,CAP CER 27PF 50V C0G/NP0 0603
16,"C68,C75",2,10,GRT188R61E106ME13D,CAP CER 10UF 25V X5R 0603
17,"C96,C97",2,10,GRT188R61E225ME13D,CAP CER 2.2UF 25V X5R 0603
18,D3,1,4,"PMEG4010ER,115",DIODE SCHOTTKY 40V 1A SOD123W
19,D4,1,4,BZT52C15,DIODE ZENER 15V 500MW SOD123
20,"D1,D13",2,6,SMBJ12A,TVS DIODE 12VWM 19.9VC DO214AA
21,"D2,D5,D6,D9,D10,D11,D12,D14,D15",9,20,150060GS75000,LED GREEN CLEAR 0603 SMD
22,"D7,D8",2,10,ESD16VHYFHT116,TVS DIODE 12VWM SOT23
23,"FL1,FL2",2,6,ACT45B-101-2P-TL003,CMC 100UH 150MA 2LN 5.8KOHM SMD
24,J1,1,4,5040500691,CONN HEADER SMD R/A 6POS 1.5MM
25,J4,1,4,USB4105-GF-A,CONN RCP USB2.0 TYP C 16P SMD RA
26,J7,1,4,61304021121,CONN HEADER VERT 40POS 2.54MM
27,"J5,J6",2,6,532610471,CONN HEADER SMD R/A 4POS 1.25MM
28,"J8,J11,J12,J13",4,2,61304011121,CONN HEADER VERT 40POS 2.54MM
29,"J9,J10",2,2,61304021121,CONN HEADER VERT 40POS 2.54MM
30,L6,1,4,74437349047,FIXED IND 4.7UH 5A 30.8 MOHM SMD
31,"L1,L2,L3,L4,L5",5,12,74437346068,FIXED IND 6.8UH 3.4A 60 MOHM SMD
32,Q1,1,4,SQJ407EP-T1_GE3,MOSFET P-CH 30V 60A PPAK SO-8
33,Q4,1,4,DMG2302UK-7,MOSFET N-CH 20V 2.8A SOT23
34,"Q2,Q3",2,6,FDN304P,MOSFET P-CH 20V 2.4A SUPERSOT3
35,R2,1,10,ERJ-3EKF8663V,RES SMD 866K OHM 1% 1/10W 0603
36,R3,1,10,ERJ-3EKF1503V,RES SMD 150K OHM 1% 1/10W 0603
37,R5,1,10,ERJ-3EKF5110V,RES SMD 511 OHM 1% 1/10W 0603
38,R29,1,10,ERJ-3EKF4991V,RES SMD 4.99K OHM 1% 1/10W 0603
39,R53,1,10,ERJ-3EKF4303V,RES SMD 430K OHM 1% 1/10W 0603
40,R54,1,10,ERJ-3EKF4023V,RES SMD 402K OHM 1% 1/10W 0603
41,R55,1,10,ERJ-3EKF2152V,RES SMD 21.5K OHM 1% 1/10W 0603
42,R56,1,10,ERJ-3EKF4322V,RES SMD 43.2K OHM 1% 1/10W 0603
43,"R1,R4",2,10,ERJ-3EKF5101V,RES SMD 5.1K OHM 1% 1/10W 0603
44,"R12,R69",2,10,ERJ-3EKF1004V,RES SMD 1M OHM 1% 1/10W 0603
45,"R18,R19,R20,R21",4,10,ERJ-3EKF60R4V,RES SMD 60.4 OHM 1% 1/10W 0603
46,"R25,R37",2,10,ERJ-3EKF5232V,RES SMD 52.3K OHM 1% 1/10W 0603
47,"R27,R39",2,10,ERJ-3EKF3162V,RES SMD 31.6K OHM 1% 1/10W 0603
48,"R32,R34,R81,R82",4,10,ERJ-3EKF1000V,RES SMD 100 OHM 1% 1/10W 0603
49,"R41,R42,R43,R44",4,10,ERJ-3EKF1001V,RES SMD 1K OHM 1% 1/10W 0603
50,"R45,R47,R49",3,10,ERJ-3EKF4703V,RES SMD 470K OHM 1% 1/10W 0603
51,"R51,R52,R57,R58",4,10,ERJ-3EKF4701V,RES SMD 4.7K OHM 1% 1/10W 0603
52,"R6,R31,R33",3,10,ERJ-3EKF4700V,RES SMD 470 OHM 1% 1/10W 0603
